Arma blanca que cualquiera puede usar. AT+6
Ala del dragón menor, que da gran resistencia contra ataques.
Brazo que perdió un aventurero en su batalla contra un dragón de hielo.
Una de las misteriosas piezas que encontraste en las ruinas de la ciudad.
Una de las misteriosas piezas que encontraste en las ruinas de la ciudad.
Una de las misteriosas piezas que encontraste en las ruinas de la ciudad.
Una de las misteriosas piezas que encontraste en las ruinas de la ciudad.
Una de las misteriosas piezas que encontraste en las ruinas de la ciudad.
Extraño aparato construido con las piezas encontradas.
Pañuelo que llevaba el aventurero llamado Guerrero del Arco Iris.
A algún aventurero se le ha caído esta perla.
La comida favorita del ave legendaria.
